"covariateId","covariateName","analysisId","conceptId","covariateValue"
316866209,"condition_era group any time prior through 0 days relative to index: Hypertensive disorder",209,316866,0.943171328839578
8507001,"gender = MALE",1,8507,0.67508370823341
4100065209,"condition_era group any time prior through 0 days relative to index: Disease due to Coronaviridae",209,4100065,0.41403026218755
321588209,"condition_era group any time prior through 0 days relative to index: Heart disease",209,321588,0.398600468575719
4146860209,"condition_era group any time prior through 0 days relative to index: O/E - pulse rhythm",209,4146860,0.364465135620745
4028876209,"condition_era group any time prior through 0 days relative to index: Inflammatory disorder of lower respiratory tract",209,4028876,0.334116937970168
4178680209,"condition_era group any time prior through 0 days relative to index: Degenerative disorder of musculoskeletal system",209,4178680,0.279255761507207
4181188209,"condition_era group any time prior through 0 days relative to index: Inflammatory disorder of immune system",209,4181188,-0.267904938292404
44793084209,"condition_era group any time prior through 0 days relative to index: No response to bowel cancer screening programme invitation",209,44793084,0.259028775259403
4134440209,"condition_era group any time prior through 0 days relative to index: Visual system disorder",209,4134440,0.193425386553475
4042584209,"condition_era group any time prior through 0 days relative to index: Serum lipids high",209,4042584,0.190746952717228
444209209,"condition_era group any time prior through 0 days relative to index: Neoplasm of skin",209,444209,0.186622902526764
4256761209,"condition_era group any time prior through 0 days relative to index: Imaging result abnormal",209,4256761,0.180207215648086
4276422209,"condition_era group any time prior through 0 days relative to index: Finding related to casts on urine microscopy",209,4276422,0.166944765563536
4263848209,"condition_era group any time prior through 0 days relative to index: Dyspnea on exertion",209,4263848,0.14566527638911
44792781209,"condition_era group any time prior through 0 days relative to index: General practice physical activity questionnaire physical activity index: moderately active",209,44792781,0.138151841328369
4208786209,"condition_era group any time prior through 0 days relative to index: Musculoskeletal and connective tissue disorder",209,4208786,0.127413699715799
4187096209,"condition_era group any time prior through 0 days relative to index: Fracture of lower limb",209,4187096,0.124906608269912
21602795410,"drug_era group during day -183 through -4 days relative to index: ANTIINFECTIVES FOR SYSTEMIC USE",410,21602795,-0.112426193261484
4155902209,"condition_era group any time prior through 0 days relative to index: Wax in ear canal",209,4155902,0.110330149288167
4185932209,"condition_era group any time prior through 0 days relative to index: Ischemic heart disease",209,4185932,0.101934026693028
4041664209,"condition_era group any time prior through 0 days relative to index: Difficulty breathing",209,4041664,0.0989839930032666
4181064209,"condition_era group any time prior through 0 days relative to index: Inflammatory disorder of extremity",209,4181064,0.088746898351965
4055822209,"condition_era group any time prior through 0 days relative to index: Urine glucose test negative",209,4055822,0.0743568043525066
4338120209,"condition_era group any time prior through 0 days relative to index: Altered bowel function",209,4338120,-0.071601121309656
4166666209,"condition_era group any time prior through 0 days relative to index: Shoulder pain",209,4166666,0.0603493859248468
4043671209,"condition_era group any time prior through 0 days relative to index: Inflammatory disorder of upper respiratory tract",209,4043671,-0.0557897854084741
444094209,"condition_era group any time prior through 0 days relative to index: Finding related to pregnancy",209,444094,-0.0539831474578774
4060738209,"condition_era group any time prior through 0 days relative to index: O/E - pulse rhythm regular",209,4060738,0.0536489755439
433456209,"condition_era group any time prior through 0 days relative to index: Acute pain",209,433456,0.0533198746345046
12003,"age group:  60 -  64",3,0,0.0486716875216681
4059546209,"condition_era group any time prior through 0 days relative to index: Standard chest X-ray normal",209,4059546,0.0445138642884304
40482228209,"condition_era group any time prior through 0 days relative to index: Imaging of thorax abnormal",209,40482228,0.043411740849292
4058769209,"condition_era group any time prior through 0 days relative to index: Radiology result normal",209,4058769,0.0424201746154678
138525209,"condition_era group any time prior through 0 days relative to index: Pain in limb",209,138525,0.032461385377214
4023987209,"condition_era group any time prior through 0 days relative to index: Activity exercise pattern",209,4023987,0.0270135926804678
439676209,"condition_era group any time prior through 0 days relative to index: Coronavirus infection",209,439676,0.0245261110801985
8532001,"gender = FEMALE",1,8532,0
16003,"age group:  80 -  84",3,0,0
13003,"age group:  65 -  69",3,0,0
17003,"age group:  85 -  89",3,0,0
15003,"age group:  75 -  79",3,0,0
21003,"age group: 105 - 109",3,0,0
19003,"age group:  95 -  99",3,0,0
6003,"age group:  30 -  34",3,0,0
4003,"age group:  20 -  24",3,0,0
10003,"age group:  50 -  54",3,0,0
5003,"age group:  25 -  29",3,0,0
9003,"age group:  45 -  49",3,0,0
14003,"age group:  70 -  74",3,0,0
20003,"age group: 100 - 104",3,0,0
18003,"age group:  90 -  94",3,0,0
8003,"age group:  40 -  44",3,0,0
7003,"age group:  35 -  39",3,0,0
11003,"age group:  55 -  59",3,0,0
3003,"age group:  15 -  19",3,0,0
21605112410,"drug_era group during day -183 through -4 days relative to index: SURGICAL AIDS",410,21605112,0
791967410,"drug_era group during day -183 through -4 days relative to index: lorazepam",410,791967,0
21602624410,"drug_era group during day -183 through -4 days relative to index: Selective estrogen receptor modulators",410,21602624,0
21603850410,"drug_era group during day -183 through -4 days relative to index: Colony stimulating factors",410,21603850,0
21600835410,"drug_era group during day -183 through -4 days relative to index: ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",410,21600835,0
21601968410,"drug_era group during day -183 through -4 days relative to index: EMOLLIENTS AND PROTECTIVES",410,21601968,0
21604170410,"drug_era group during day -183 through -4 days relative to index: OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM",410,21604170,0
43012315410,"drug_era group during day -183 through -4 days relative to index: carbomer-974P",410,43012315,0
40171288410,"drug_era group during day -183 through -4 days relative to index: tocilizumab",410,40171288,0
